"category"
"APERFEICOAMENTO"
"CURSO-TECNICO-PROFISSIONALIZANTE"
"DOUTORADO"
"ENSINO-FUNDAMENTAL-PRIMEIRO-GRAU"
"ENSINO-MEDIO-SEGUNDO-GRAU"
"ESPECIALIZACAO"
"GRADUACAO"
"LIVRE-DOCENCIA"
"MESTRADO"
"MESTRADO-PROFISSIONALIZANTE"
"POS-DOUTORADO"
"RESIDENCIA-MEDICA"
